Student_ID,Name,Subject,Past_Score,Preferred_Learning_Method,Preferred_Test_Type,Effective_Learning_Method
S001,Student_1,0,78,2,0,2
S002,Student_2,3,91,3,2,3
S003,Student_3,1,68,3,0,0
S004,Student_4,0,54,3,1,2
S005,Student_5,2,82,0,0,1
S006,Student_6,1,47,0,2,0
S007,Student_7,0,60,2,2,3
S008,Student_8,0,78,2,1,3
S009,Student_9,2,97,1,0,1
S010,Student_10,3,58,3,2,3
S011,Student_11,2,62,0,1,0
S012,Student_12,2,50,3,2,1
S013,Student_13,2,50,2,2,2
S014,Student_14,3,63,0,0,0
S015,Student_15,3,92,0,1,2
S016,Student_16,1,75,1,1,2
S017,Student_17,2,79,1,0,0
S018,Student_18,0,63,3,2,3
S019,Student_19,3,42,0,0,3
S020,Student_20,3,61,1,0,3
S021,Student_21,2,92,2,1,2
S022,Student_22,2,41,3,1,2
S023,Student_23,1,63,2,2,0
S024,Student_24,1,83,3,1,2
S025,Student_25,1,69,2,2,1
S026,Student_26,0,77,3,0,2
S027,Student_27,1,41,2,0,2
S028,Student_28,3,99,3,1,1
S029,Student_29,3,60,3,0,1
S030,Student_30,3,72,3,0,3
S031,Student_31,2,51,3,2,0
S032,Student_32,3,97,2,0,1
S033,Student_33,0,61,2,0,1
S034,Student_34,3,83,3,1,3
S035,Student_35,2,64,3,1,1
S036,Student_36,1,88,1,0,2
S037,Student_37,2,66,0,0,2
S038,Student_38,3,98,3,1,3
S039,Student_39,1,81,0,2,0
S040,Student_40,2,67,2,2,0
S041,Student_41,3,99,2,1,2
S042,Student_42,1,55,1,0,1
S043,Student_43,1,54,1,2,3
S044,Student_44,3,86,0,1,2
S045,Student_45,1,90,0,0,2
S046,Student_46,2,83,1,2,2
S047,Student_47,2,94,0,1,3
S048,Student_48,2,91,3,1,3
S049,Student_49,1,96,3,2,2
S050,Student_50,2,42,1,0,0
S051,Student_51,1,76,3,1,3
S052,Student_52,0,90,3,0,1
S053,Student_53,0,46,0,0,1
S054,Student_54,2,60,3,0,2
S055,Student_55,2,48,0,2,3
S056,Student_56,1,78,2,1,3
